php_version,runtime_profile,execution_environment,opcache_enable,opcache_enable_cli,opcache_jit,opcache_jit_buffer_size,opcache_memory_consumption,opcache_validate_timestamps,error_reporting,scenario,detail,router,size,iterations,revolutions,median_ns,mean_ns,min_ns,max_ns,stddev_ns,rsd_percent,ops_per_second,requests_per_second,requests_per_minute,relative,source
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Ariel Radix Router",100,9,1,3371000,3354888.8888889,3192000,3505000,88772.423701713,2.6460615132656,298.07246472809,298.07246472809,17884.347883685,2.8210782023732,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Simple PHP Router",100,9,1,4460000,4551333.3333333,4398000,4752000,140394.68176062,3.0846934618564,219.71583418779,219.71583418779,13182.950051267,3.8271512660002,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Symfony Routing",100,9,1,6494000,6457111.1111111,6181000,6655000,139974.95366787,2.1677643648876,154.86801803352,154.86801803352,9292.0810820112,5.4296926095488,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Illuminate Routing",100,9,1,27791000,27634777.777778,26717000,28154000,412815.20691676,1.4938249557727,36.186287005504,36.186287005504,2171.1772203302,23.237690367187,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,AltoRouter,1000,9,1,2354000,2373555.5555556,2321000,2458000,45191.226068566,1.9039464217634,421.30886621102,421.30886621102,25278.531972661,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Bramus Router",1000,9,1,2892000,2925111.1111111,2844000,3032000,74086.202710753,2.5327654197249,341.86735546608,341.86735546608,20512.041327965,1.2323752457635,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,FastRoute,1000,9,1,4021000,3987222.2222222,3788000,4068000,83494.215072766,2.0940446862335,250.80117040546,250.80117040546,15048.070224328,1.6798520737758,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Ariel Radix Router",1000,9,1,5805000,5799555.5555556,5609000,5944000,95158.477302178,1.6407891327297,172.42700590083,172.42700590083,10345.62035405,2.443404175639,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Simple PHP Router",1000,9,1,7416000,7384333.3333333,7049000,7739000,207197.16857782,2.8059021610322,135.42183902857,135.42183902857,8125.3103417145,3.1110851043909,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Symfony Routing",1000,9,1,21836000,21676333.333333,21049000,22387000,443679.0631877,2.0468363185088,46.133263620847,46.133263620847,2767.9958172508,9.1324314202787,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Illuminate Routing",1000,9,1,46746000,46855111.111111,45922000,48490000,698474.59898847,1.4907116479398,21.342388829868,21.342388829868,1280.5433297921,19.740473738414,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,AltoRouter,10000,9,1,16623000,16619666.666667,15872000,17384000,423354.0677337,2.5473078144389,60.16967849335,60.16967849335,3610.180709601,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Bramus Router",10000,9,1,20542000,20519000,19972000,20956000,266552.47555073,1.2990519789012,48.735318485306,48.735318485306,2924.1191091184,1.234621633005,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,FastRoute,10000,9,1,26129000,26075888.888889,25154000,27072000,548081.18710126,2.1018696215368,38.34960350771,38.34960350771,2300.9762104626,1.5689778508728,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Ariel Radix Router",10000,9,1,31138000,31085777.777778,30483000,31613000,331235.65890223,1.0655537116366,32.169051942296,32.169051942296,1930.1431165377,1.8704212546046,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Simple PHP Router",10000,9,1,37698000,37689222.222222,37338000,37883000,161673.73027715,0.42896541967328,26.53278420297,26.53278420297,1591.9670521782,2.2677483837755,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Symfony Routing",10000,9,1,356569000,357015666.66667,353638000,359993000,1939757.5449868,0.54332560895652,2.8009975285865,2.8009975285865,168.05985171519,21.481517880423,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,cold_start,,"Illuminate Routing",10000,9,1,419890000,422252000,417943000,443262000,7528998.3397528,1.7830580647937,2.3682540284001,2.3682540284001,142.09524170401,25.406767083174,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,FastRoute,10,9,1,341000,339888.88888889,324000,345000,5952.4867715462,1.7513037248746,2942.1379535796,,,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Ariel Radix Router",10,9,1,591000,590888.88888889,575000,610000,9993.8252541195,1.6913205582376,1692.365550959,,,1.7384766263485,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Symfony Routing",10,9,1,2963000,2966333.3333333,2849000,3097000,91782.35124467,3.0941347761997,337.11652994719,,,8.7273618829682,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Illuminate Routing",10,9,1,3777000,3781333.3333333,3607000,3940000,112502.83947034,2.9752161354991,264.45698166432,,,11.125204315136,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,FastRoute,100,9,1,339000,340555.55555556,335000,350000,5251.6899102651,1.5420949165542,2936.3784665579,,,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Ariel Radix Router",100,9,1,728000,722333.33333333,696000,741000,15040.685563571,2.0822361186301,1384.4023996308,,,2.121044045677,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Symfony Routing",100,9,1,4281000,4277000,4120000,4464000,113311.76265311,2.6493280957006,233.80874444704,,,12.558890701468,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Illuminate Routing",100,9,1,4888000,4913111.1111111,4765000,5142000,103769.45005844,2.1120924748428,203.53702112262,,,14.426753670473,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,FastRoute,1000,9,1,478000,476888.88888889,455000,493000,10969.092380608,2.3001358673224,2096.9245107176,,,1,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Ariel Radix Router",1000,9,1,2063000,2090666.6666667,2020000,2170000,54053.471468332,2.585465790896,478.3163265306,,,4.3839701770737,20260722-101702-full-opcache.xml
8.4.1,opcache,native_host,1,1,0,0,128,0,8191,compilation,,"Symfony Routing",1000,9,1,17416000,17464777.777778,17086000,17841000,249813.16475308,1.4303827276345,57.258100430707,,,36.622320596459,20260722-101702-full-opcache.xml
